DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
18-07-2019,1458.900024,418.649994,44.900002,363.649994,602.700012,476.799988,2345.149902,3467.649902,1538.25,1250.001221
19-07-2019,1462.949951,410.299988,42.700001,356,592.650024,472.149994,2303.550049,3323.100098,1498.900024,1237.271851
22-07-2019,1519.199951,411.5,44.799999,350.850006,598.349976,477.950012,2186.899902,3246.600098,1454.300049,1268.476074
23-07-2019,1523.400024,411.950012,44.349998,342.200012,595.799988,481.850006,2138.5,3276.899902,1494,1261.591431
24-07-2019,1595,408.5,42.400002,339.600006,593.349976,467.549988,2184.25,3173.550049,1497.199951,1247.2771
25-07-2019,1584.75,409,40.700001,341.299988,598.099976,481.049988,2195.350098,3046.5,1485.050049,1219.936279
26-07-2019,1582.449951,415.75,38.900002,342.600006,594.549988,496.25,2165.75,3264.600098,1511.849976,1202.402466
29-07-2019,1579.949951,429.350006,37.099998,343.799988,578.650024,491.549988,2149,3252.649902,1502.5,1199.579224
30-07-2019,1544.550049,425.350006,35.25,327.549988,572.200012,483,2127.25,3249.949951,1498.699951,1169.811401
31-07-2019,1557.199951,424.600006,33.5,332.200012,576.75,469.200012,2121.800049,3252.050049,1519.550049,1155.29895
01-08-2019,1551.599976,417.049988,35.150002,317.149994,566.650024,456,2086.800049,3222.100098,1495.800049,1169.16748
02-08-2019,1507.650024,410.600006,36.900002,308.450012,562.700012,467.950012,2124.800049,3237.899902,1507.599976,1173.229004
05-08-2019,1491,402.649994,38.700001,300.25,559.75,464.549988,2152.350098,3160.050049,1460.099976,1132.613892
06-08-2019,1492.5,410.25,40.599998,301.399994,570.099976,461.950012,2189.899902,3272.25,1485.300049,1117.705322
07-08-2019,1498.949951,408.399994,42.599998,289.899994,564.450012,464.5,2175.199951,3265.800049,1476.300049,1098.982788
08-08-2019,1518.150024,414.399994,44.700001,294.350006,564.5,469.899994,2182.300049,3334.699951,1502.75,1141.529419
09-08-2019,1530.949951,420.149994,46.900002,291.350006,567.349976,462.899994,2211.649902,3419.699951,1532.099976,1151.187866
13-08-2019,1507.150024,410.25,44.599998,283.350006,553.150024,443.450012,2100.100098,3221.850098,1511.400024,1262.780151
14-08-2019,1599.5,417.299988,42.400002,289.75,562.75,447.899994,2117.699951,3289.949951,1491.800049,1276.15332
